Total Number of People with a Booster Dose
Date generated: Mon Mar 21 2022 08:18:35 GMT+0800 (中国标准时间)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

Pfizer-BioNTech,Moderna,J&J/Janssen,Other
53451493,41681558,1457980,26390
